accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test
0.774869109947644,0.5372340425531915,0.7062937062937062,0.6102719033232629,0.8375345584647911,0.4645110247982212,H22,catboost,covbat,30,573
0.7484848484848485,0.7507163323782235,0.6179245283018868,0.6778783958602846,0.7999824988332555,0.4808038233153778,H18,catboost,covbat,30,990
0.7732406602953953,0.6219739292364991,0.8520408163265306,0.7190527448869752,0.8599056223279826,0.5553147985066753,H16,catboost,covbat,30,1151
0.6563265306122449,0.6218487394957983,0.437007874015748,0.5132947976878612,0.6809239064782174,0.2696584481488335,H15,catboost,covbat,30,1225
0.6998011928429424,0.7425742574257426,0.6024096385542169,0.6651884700665188,0.7643012996869368,0.4055991722188761,H23,catboost,covbat,30,503
0.8192488262910798,0.7793103448275862,0.7151898734177216,0.7458745874587459,0.8759918760627244,0.6073649427996682,H26,catboost,covbat,30,426
0.7353951890034365,0.6511194029850746,0.4978601997146933,0.5642683912691997,0.7846724525271853,0.3861350549455284,H10,catboost,covbat,30,2037
0.7870967741935484,0.4766355140186916,0.8360655737704918,0.6071428571428571,0.8619688224665512,0.5110740753844619,H19,catboost,covbat,30,930
0.756969696969697,0.7634146341463415,0.5072933549432739,0.6095423563777994,0.8067625725452295,0.4628626538265353,H11,catboost,covbat,30,1650
0.7525773195876289,0.6551724137931034,0.5757575757575758,0.6129032258064516,0.8128977272727274,0.434143506504434,H24,catboost,covbat,30,485
0.7713625866050808,0.547945205479452,0.7079646017699115,0.6177606177606177,0.8281250000000001,0.466072603815994,H25,logreg,sitewise,30,433
0.728760045924225,0.5633387010198604,0.6347142425158754,0.5969003270297171,0.770828763466515,0.3951986877971193,H1,logreg,sitewise,30,10452
0.7292817679558011,0.6358381502890174,0.7586206896551724,0.6918238993710691,0.8252343874145877,0.4593908263971747,H27,logreg,sitewise,30,362
0.6958925750394944,0.9129251700680272,0.6764112903225806,0.7770700636942676,0.7946822757240404,0.369557295963718,H14,logreg,sitewise,30,1266
0.7560975609756098,0.7878787878787878,0.7289719626168224,0.7572815533980582,0.8149914171275986,0.5144900278709341,H29,logreg,sitewise,30,205
0.7959570435881238,0.5407239819004525,0.6657381615598886,0.5967540574282147,0.8153333060243596,0.466613298516464,H4,logreg,sitewise,30,3166
0.7711394058112961,0.5644699140401146,0.7069377990430622,0.6277217206585236,0.8194658099917713,0.4716310109797131,H7,logreg,sitewise,30,3063
0.8098233003893381,0.3503086419753086,0.5147392290249433,0.4168962350780532,0.7567522523156951,0.3163001147838477,H3,logreg,sitewise,30,3339
0.7392676767676768,0.5415896487985212,0.6397379912663755,0.5865865865865866,0.7829585734562969,0.4010347990958809,H12,logreg,sitewise,30,1584
0.5457001350742908,0.9136094674556212,0.4519906323185012,0.6047786917352135,0.7258092864218835,0.268839351885213,H9,logreg,sitewise,30,2221
0.6893939393939394,0.6455696202531646,0.4857142857142857,0.5543478260869565,0.7442946990116802,0.3309130623000605,H28,logreg,sitewise,30,264
0.7923497267759563,0.7283464566929134,0.5377906976744186,0.6187290969899666,0.8455755351304669,0.4908886961792933,H17,logreg,sitewise,30,1098
0.7448494453248812,0.6416666666666667,0.3948717948717948,0.4888888888888889,0.722041872500588,0.3488307958208637,H21,logreg,sitewise,30,631
0.7071428571428572,0.6727272727272727,0.6166666666666667,0.6434782608695652,0.8085416666666667,0.3968683110655041,H30,logreg,sitewise,30,140
0.7027724049000644,0.6138107416879796,0.4363636363636363,0.51009564293305,0.7197788575061302,0.31456410029489,H5,logreg,sitewise,30,3102
0.463855421686747,0.861244019138756,0.3550295857988165,0.5027932960893855,0.6401839219085665,0.1558227802012661,H20,logreg,sitewise,30,664
0.6140808344198174,0.8249787595581988,0.4982042072857875,0.6212412028150992,0.7194134064764084,0.3109356237316897,H6,logreg,sitewise,30,3068
0.6852379907874534,0.7223602484472049,0.5406787540678754,0.618452539218293,0.7367136663623965,0.3708383256589498,H2,logreg,sitewise,30,4559
0.7736572890025576,0.6005665722379604,0.4988235294117647,0.5449871465295629,0.7910509735061716,0.399083485474423,H13,logreg,sitewise,30,1564
0.5293255131964809,0.9812593703148426,0.5097352024922118,0.6709379805228088,0.7398437500000001,0.1661573042457987,H8,logreg,sitewise,30,2728
0.7626527050610821,0.5212121212121212,0.6013986013986014,0.5584415584415584,0.7952349975605788,0.3991824612655453,H22,logreg,sitewise,30,573
0.695959595959596,0.7303370786516854,0.4599056603773584,0.5643994211287988,0.6964964330955397,0.370950092782516,H18,logreg,sitewise,30,990
0.7089487402258905,0.5547024952015355,0.7372448979591837,0.6330777656078861,0.7945134575569357,0.4108995273897498,H16,logreg,sitewise,30,1151
0.6253061224489795,0.6,0.2893700787401574,0.3904382470119522,0.6217479875684995,0.188063462398066,H15,logreg,sitewise,30,1225
0.6341948310139165,0.6683937823834197,0.5180722891566265,0.583710407239819,0.7169307149859279,0.2735949536272166,H23,logreg,sitewise,30,503
